3	59-P2535.09	0.951	2024-04-15 21:32:08
3	59-P2535.09	0.957	2024-04-15 21:32:09
3	59-P2535.09	0.957	2024-04-15 21:32:10
3	59-P2535.09	0.967	2024-04-15 21:32:11
3	59-P2535.09	0.967	2024-04-15 21:32:12
3	59-P2535.09	0.967	2024-04-15 21:32:13
3	59-P2535.09	0.968	2024-04-15 21:32:14
3	59-P2535.09	0.971	2024-04-15 21:32:15
3	59-P2535.09	0.971	2024-04-15 21:32:16
3	59-P2535.09	0.971	2024-04-15 21:32:17
3	59-P2535.09	0.971	2024-04-15 21:32:19
3	59-P2535.09	0.971	2024-04-15 21:32:20
3	59-P2535.09	0.971	2024-04-15 21:32:22
3	59-P2535.09	0.971	2024-04-15 21:32:23
3	59-P2535.09	0.971	2024-04-15 21:32:26
